Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:09:43 | 7923 | GradleWorkerMain | 909.2MB | 1636.0MB | 2163.3MB
00:09:43 | 7108 | KotlinCompileDaemon | 1487.8MB | 2191.5MB | 3405.3MB
00:09:43 | 1924 | GradleDaemon | 3478.6MB | 4077.5MB | 5955.9MB
00:09:43 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:50 | 7923 | GradleWorkerMain | 965.2MB | 1640.0MB | 2163.8MB
00:09:50 | 7108 | KotlinCompileDaemon | 481.0MB | 2190.0MB | 3404.9MB
00:09:50 | 1924 | GradleDaemon | 2813.5MB | 4131.0MB | 5969.5MB
00:09:50 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:57 | 7923 | GradleWorkerMain | 1049.3MB | 1628.0MB | 2164.7MB
00:09:57 | 7108 | KotlinCompileDaemon | 413.7MB | 2209.0MB | 3415.3MB
00:09:57 | 1924 | GradleDaemon | 2881.9MB | 4073.5MB | 5991.9MB
00:09:57 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:05 | 7923 | GradleWorkerMain | 441.4MB | 1636.0MB | 2165.7MB
00:10:05 | 7108 | KotlinCompileDaemon | 970.6MB | 2215.5MB | 3433.3MB
00:10:05 | 1924 | GradleDaemon | 3467.2MB | 4073.5MB | 6000.9MB
00:10:05 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:12 | 7923 | GradleWorkerMain | 537.4MB | 1628.0MB | 2166.2MB
00:10:12 | 7108 | KotlinCompileDaemon | 1623.6MB | 2223.0MB | 3431.6MB
00:10:12 | 1924 | GradleDaemon | 3012.6MB | 4010.5MB | 6051.1MB
00:10:12 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:20 | 7923 | GradleWorkerMain | 905.5MB | 1712.0MB | 2166.9MB
00:10:20 | 7108 | KotlinCompileDaemon | 764.1MB | 2261.5MB | 3450.8MB
00:10:20 | 1924 | GradleDaemon | 2561.6MB | 3991.5MB | 6093.0MB
00:10:20 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:28 | 7923 | GradleWorkerMain | 253.6MB | 1628.0MB | 2167.7MB
00:10:28 | 7108 | KotlinCompileDaemon | 1596.4MB | 2263.0MB | 3460.8MB
00:10:28 | 1924 | GradleDaemon | 3328.9MB | 3992.0MB | 6113.0MB
00:10:28 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:10:35 | 7923 | GradleWorkerMain | 581.6MB | 1712.0MB | 2194.6MB
00:10:35 | 7108 | KotlinCompileDaemon | 715.2MB | 2300.5MB | 3492.4MB
00:10:35 | 1924 | GradleDaemon | 3070.3MB | 4002.0MB | 6159.5MB
